II 1	II	3
SCP	SuDocs	0
SCP 71	SCP	1
FM	SuDocs	0
FM 1	FM	4
DT	SuDocs	0
DT 378	DT	1
LGH	SuDocs	0
LGH 842	LGH	1
EV	SuDocs	0
EV 872	EV	1
CI	SuDocs	0
CI 5	CI	1
CI 2	CI	1
JA	SuDocs	0
JA 1	JA	1
CIW	SuDocs	0
CIW 87	CIW	1
PVRP	SuDocs	0
PVRP 42	PVRP	1
EB	SuDocs	0
EB 1	EB	1
UA	SuDocs	0
UA 5	UA	1
TF	SuDocs	0
TF 2	TF	1
LGA	SuDocs	0
LGA 912	LGA	9
UF	SuDocs	0
UF 2	UF	1
NAT	SuDocs	0
NAT 1	NAT	1
ID	SuDocs	0
ID 1	ID	6
EC	SuDocs	0
EC 1	EC	1
HGY	SuDocs	0
HGY 1	HGY	1
ES	SuDocs	0
ES 3	ES	3
SB	SuDocs	0
SB 2	SB	1
SB 323	SB	1
SB 1	SB	1
PAT	SuDocs	0
PAT 1	PAT	2
NMC	SuDocs	0
NMC 1	NMC	1
MA	SuDocs	0
MA 3065	MA	1
PAG	SuDocs	0
PAG 1	PAG	1
PCA	SuDocs	0
PCA 177	PCA	1
PGA	SuDocs	0
PGA 1	PGA	1
PGA 138	PGA	1
PCO	SuDocs	0
PCO 1	PCO	1
PTR	SuDocs	0
PTR 1	PTR	1
PAC	SuDocs	0
PAC 1	PAC	1
PYH	SuDocs	0
PYH 673	PYH	1
VB	SuDocs	0
VB 1	VB	1
WHO	SuDocs	0
WHO 1	WHO	1
PPW	SuDocs	0
PPW 145	PPW	1
EG	SuDocs	0
EG 326	EG	1
RL	SuDocs	0
RL 1	RL	1
MN	SuDocs	0
MN 1	MN	5
CNW	SuDocs	0
CNW 314	CNW	1
WT	SuDocs	0
WT 1	WT	1
SQ	SuDocs	0
SQ 4	SQ	1
