	74629
UNITED STATES-JAPAN CONFERENCE ON CULTURAL AND EDUCATIONAL INTERCHANGE	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF EQUAL OPPORTUNITY	1
UNITED STATES DEPARTMENT OF EDUCATION FEDERAL INTERAGENCY COMMITTEE ON EDUCATION INTERNATIONAL EDUCATION TASK FORCE	1
ENVIRONMENTAL PROTECTON AGENCY OFFICE OF TOXIC SUBSTANCES	1
OCD	1
DEPARTMENT OF STUDENT WORK	1
UPPER PENINSULA DEVELOPMENT BUREAU	1
JS AND SA BAGG	1
DAVID TAYLOR RESEARCH CENTER	1
ADVISORY COMMISSION TO STUDY CONSUMER PRICE INDEX	1
OFFICE ITS OFFICE OF CONTRACTING AND ADMINISTRATIVE SERVICES	1
TECHNICAL SUPPORT DIVISION OFFICE OF GROUND WATER AND DRINKING WATER UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL AND PREVENTION NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH DIVISION OF PHYSICAL SCIENCES AND ENGINEERING ENGINEERING CONTROL TECHNOLOGY BRANCH	1
UNITED STATES GPO SUPT OF DOCS UNITED STATES GPO DISTRIBUTOR	1
UNITED STATES FEDERAL COUNCIL FOR SCIENCE AND TECHNOLOGY	1
UNITED STATES GOVERNMENT PRINTING OFFICEIC	1
UNITED STATES CONGRESS HOUSE COMMITTEE ON WAYS AND MEANS	1
NATIONAL PARK SERVICE MIDWEST FIELD AREA GREAT PLAINS SYSTEMS SUPPORT OFFICE CULTURAL RESOURCES	1
AVAILABLE TO PUBLIC FROM UNITED STATES DEPARTMENT OF COMMERCE TECHNOLOGY ADMINISTRATION NATIONAL TECHNICAL INFORMATION SERVICE	1
ASSISTANT TO SECRETARY OF DEFENSE FOR NUCLEAR AND CHEMICAL AND BIOLOGICAL DEFENSE PROGRAMS DEPARTMENT OF DEFENSE	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF LAND MANAGEMENT GRAND JUNCTION DISTRICT GRAND JUNCTION RESOURCE AREA	1
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF PARDON ATTORNEY	1
JAYCOR	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WASTE PROGRAMS ENFORCEMENT OFFICE OF SOLID WASTE AND EMERGENCY RESPONSE	1
LIBRARY OF CONGRESS PHOTODUPLICATION SERVICE DISTRIBUTOR	1
NATIONAL WEATHER SERVICE OFFICE OF METEOROLOGY	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION OFFICE OF MOTOR CARRIERS	1
OFFICE OF GROUND WATER AND DRINKING WATER UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
LAWRENCE BERKELEY NATIONAL LABORATORY	1
NATIONAL CENTER FOR INFECTIOUS DISEASES	1
NATIONAL INSTITUTE ON EDUCATIONAL GOVERNANCE FINANCE POLICYMAKING AND MANAGEMENT	1
CLIMATE PREDICTION CENTER NATIONAL CENTERS FOR ENVIRONMENTAL PREDICTION NATIONAL WEATHER SERVICE	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE RESOURCE PLANNING GROUP DENVER SERVICE CENTER	1
OFFICE OF OCEAN RESOURCES CONSERVATION AND ASSESSMENT NATIONAL OCEAN SERVICE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION	1
NAVY DEPARTMENT NAVAL SEA SYSTEMS COMMAND	1
NATIONAL INSTITUTES OF HEALTH NATIONAL HEART LUNG AND BLOOD INSTITUTION	1
4TH MARINE DIVISION	1
OFFICE OF HISTORY SAN ANTONIO AIR LOGISTICS CENTER	1
UNITED STATES DEPARTMENT OF EDUCATION FAMILY POLICY COMPLIANCE OFFICE	1
SMITHSONIAN INSTITUTION PRESS IN ASSOCIATION WITH NATIONAL MUSEUM OF AFRICAN ART	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE ROCKY MOUNTAIN REGION DIVISION OF CULTURAL RESOURCES SELECTIONS SERIES	1
MUNICIPAL CONSTRUCTION DIVISION WATER PROGRAM OPERATIONS OFFICE OF WATER AND WASTE MANAGEMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
AVAILABLE FROM UNITED STATES GENERAL ACCOUNTING OFFICE DOCUMENT HANDLING AND INFORMATION SERVICES FACILITY	1
NATIONAL INSTITUTE ON DRUG ABUSE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION PUBLIC HEALTH SERVICE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION CENTER FOR DEVICES AND RADIOLOGICAL HEALTH WASHINGTON DC	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL NATIONAL INSTITUTE OF OCCUPATIONAL HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH DIVISION OF BIOMEDICAL AND BEHAVIORAL SCIENCE PHYSICAL AGENTS EFFECTS BRANCH WASHINGTON DC	1
OFFICE OF VOCATIONAL AND ADULT EDUCATION DEPARTMENT OF EDUCATION	1
NATIONAL INSTITUTE OF OCCUPATIONAL HEALTH	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES UNITED STATES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	1
DIVISION OF APPLIED RESEARCH NATIONAL INSTITUTE ON DRUG ABUSE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CHOLESTEROL EDUCATION PROGRAM	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES UNITED STATES PUBLIC HEALTH SERVICE HEALTH RESOURCES AND SERVICES ADMINISTRATION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH OFFICE OF HEALTH MAINTENANCE ORGANIZATIONS DIVISION OF DEVELOPMENT	1
DIVISION OF STATISTICS AND APPLIED MATHEMATICS OFFICE OF RADIATION PROGRAMS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
ENVIRONMENTAL PROTECTION AGENCY WATER PLANNING DIVISION NONPOINT SOURCES BRANCH	1
NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REGULATORY RESEARCH DIVISION OF REACTOR SAFETY RESEARCH METALLURGY AND MATERIALS RESEARCH BRANCH A SPRINGFIELD VA	1
AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TEHCNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF REACTOR SAFETY RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH	1
CORE PERFORMANCE BRANCH DIVISION OF SYSTEMS SAFETY UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES NATIONAL INSTITUTE OF HEALTH NATIONAL INSTITUTE ON DRUG ABUSE OFFICE OF SCIENCE POLICY AND COMMUNICATIONS PUBLIC INFORMATION BRANCH	1
RURAL BUSINESS/COOPERATIVE DEVELOPMENT SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY IN CONJUNCTION WITH CENTERS FOR DISEASE CONTROL AND PREVENTION NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	1
OFFICE OF RADIATION PROGRAMS RADON DIVISION UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
CHILDREN BUREAU ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES OFFICE OF HUMAN DEVELOPMENT SERVICES UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER AND HAZARDOUS MATERIALS OFFICE OF WATER PROGRAM OPERATIONS MUNICIPAL OPERATIONS BRANCH	1
ENVIRONMENTAL PROTECTION AGENCY INDUSTRIAL ENVIRONMENTAL RESEARCH LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER PROGRAM OPERATIONS SALE BY SUPT OF DOCS UNITED STATES GOVERNMENT PRINTING OFFICE	1
OCCUPATIONAL HEALTH STANDARDS BRANCH OFFICE OF STANDARDS DEVELOPMENT UNITED STATES NUCLEAR REGULATORY COMMISSION	1
NATIONAL ENVIRONMENTAL RESEARCH CENTER OFFICE OF RESEARCH AND DEVELOPMENT	1
MIDWEST REGIONAL OFFICE NATIONAL PARK SERVICE	1
DIVISION OF SYSTEM SAFETY OFFICE OF NUCLEAR REACTOR REGULATION NUCLEAR REGULATORY COMMISSION	1
RADIATION PROTECTION SECTION RADIOLOGICAL ASSESSMENT BRANCH OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL AND PREVENTION NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH DIVISION OF SAFETY RESEARCH	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY AIR OFFICE OF AIR AND RADIATION	1
NORTH CAROLINA AGRICULTURAL EXTENSION SERVICE BIOLOGICAL AND AGRICULTURAL ENGINEERING DEPARTMENT NORTH CAROLINA STATE UNIVERSITY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WASTE PROGRAMS ENFORCEMENT	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS TECHNOLOGY ASSESSMENT DIVISION	1
OFFICE OF RADIATION PROGRAMS OFFICE OF AIR AND RADIATION AND AIR AND ENERGY ENGINEERING RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
ENVIRONMENTAL PROTECTION AGENCY REGION VIII OFFICE OF ENERGY ACTIVITIES	1
LABORATORY SPRINGFIELD VA	1
OFFICE OF RADIATION PROGRAMS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY 1985	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS NONIONIZING RADIATION BRANCH	1
ATMOSPHERIC SCIENCES DEPARTMENT BATTELLE PACIFIC NORTHWEST LABORATORIES	1
DIVISION OF PROGRAM DEVELOPMENT AND APPRAISAL OFFICE OF INSPECTION AND ENFORCEMENT UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER PROGRAM OPERATION	1
GENERAL SERVICES ADMINISTRATION CENTRALIZED MAILING LISTS SERVICES DISTRIBUTOR	1
DIVISION OF NUCLEAR MATERIAL SAFETY OFFICE OF NUCLEAR MATERIAL SAFETY AND SAFEGUARDS UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF OPERATING REACTORS OFFICE OF NUCLEAR REACTOR REGULATION UD NUCLEAR REGULATORY COMMISSION	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS ELECTROMAGNETIC RADIATION BRANCH	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT	1
AVAILABLE FROM NATIONAL TECHNICAL INFORAMTION SERVICE	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY ELECTROMAGNETIC RADIATION ANALYSIS BRANCH	1
GENERAL SERVICES ADMINISTRATION 8-FY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER PROGRAM OPERATIONS DIVISION OF OIL AND SPECIAL MATERIALS CONTROL	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS FIELD OPERATIONS DIVISION ELECTROMAGNETIC ANALYSIS BRANCH	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY RADIATION PROGRAMS OFFICE	1
OFFICE OF WATER PROGRAM OPERATIONS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
COOPERS AND LYBRAND CONSULTING	1
TECHNICAL ASSISTANCE AND RESEARCH DIVISION ECONOMIC DEVELOPMENT ADMINISTRATION UNITED STATES DEPARTMENT OF COMMERCE	1
NORTHWEST MINING ASSOCIATION	1
AVIATION STANDARDS NATIONAL FIELD OFFICE	1
REGISTRATION DIVISION OFFICE OF PESTICIDE PROGRAMS OFFICE OF PESTICIDES AND TOXIC SUBSTANCES UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
AVAILABLE FROM GENERAL SERVICES ADMINISTRATION	1
GENERAL SERVICES ADMINISTRATION DISTRIBUTOR	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES ADMINISTRATION FOR CHILDREN AND FAMILIES ADMINISTRATION ON CHILDREN YOUTH AND FAMILIES CHILD CARE BUREAU	1
PRODUCED BY DEFENSE FUEL SUPPLY CENTER PUBLIC AFFAIRS OFFICE	1
OFFICE OF WASTE PROGRAMS ENFORCEMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY CENTER FOR ENVIRONMENTAL INFORMATION	1
OFFICE OF ECOLOGICAL PROCESSES AND EFFECTS RESEARCH OFFICE OF RESEARCH AND DEVELOPMENT	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF MODELING MONITORING SYSTEMS AND QUALITY ASSURANCE	1
ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
SUPERFUND RESEARCH SUBCOMMITTEE HAZARDOUS WASTE/SUPERFUND RESEARCH COMMITTEE OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
FIELD STUDIES BRANCH DESIGN AND DEVELOPMENT BRANCH EXPOSURE EVALUATION DIVISION OFFICE OF TOXIC SUBSTANCES OFFICE OF PESTICIDES AND TOXIC SUBSTANCES UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF TESTING AND EVALUATION OFFICE OF PESTICIDES AND TOXIC SUBSTANCES	1
UNITED STATES NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR MATERIAL SAFETY AND SAFEGUARDS DIVISION OF FUEL CYCLE AND MATERIAL SAFETY	1
EMERGENCY PREPAREDNESS PROGRAM OFFICE OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
SINGLE COPIES ARE AVAILABLE FROM CENTER	1
ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT	1
OFFICE OF PESTICIDE AND TOXIC SUBSTANCE EPA	1
OFFICE OF WATER PLANNING AND STANDARDS OFFICE OF WATER AND WASTE MANAGEMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT MONITORING SYSTEMS RESEARCH AND DEVELOPMENT DIVISION ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY MONITORING SYSTEMS RESEARCH AND DEVELOPMENT DIVISION QUALITY ASSURANCE BRANCH	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS ELECTROMAGNETIC RADIATION ANAYSIS BRANCH	1
NUCLEAR REGULATORY COMMISSION OFFICE OF STANDARDS DEVELOPMENT DIVISION OF ENGINEERING STANDARDS	1
NUCLEAR REGULATORY COMMISSION OFFICER OF NUCLEAR REACTOR REGULATION ANTITRUST AND INDEMNITY GROUP	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ANALYSIS AND EVALUATION OFFICE OF WATER PLANNING AND STANDARDS	1
TECHNOLOGY TRANSFER EPA	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY REGION II	1
OFFICE OF WATER ENFORCEMENT AND PERMITS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
ACCIDENT ANALYSIS BRANCH DIVISION OF STITE SAFETY AND ENVIRONMENTAL ANALYSIS UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF PROJECT MANAGEMENT UNITED STATES NUCLEAR REGULATORY COMMISSION 1977	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION OFFICE OF RESEARCH EVALUATION AND STATISTICS	1
NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH PUBLICATIONS DISSEMINATION DISTRIBUTOR	1
EXECUTIVE OFFICE OF PRESIDENT OF UNITED STATES NATIONAL SCIENCE AND TECHNOLOGY COUNCIL COMMITTEE ON ENVIRONMENT AND NATURAL RESOURCES	1
NATIONAL INSTITUTE ON POSTSECONDARY EDUCATION LIBRARIES AND LIFELONG LEARNING UNITED STATES DEPARTMENT OF EDUCATION	1
HIGHER EDUCATION CENTER FOR ALCOHOL AND OTHER DRUG PREVENTION EDUCATION DEVELOPMENT CENTER	1
DIVISION OF RESOURCE CONTAMINANT ASSESSMENT UNITED STATES FISH AND WILDLIFE SERVICE DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF LABOR OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION OFFICE OF SCIENCE AND TECHNOLOGY ASSESSMENT	1
PUBLISHED BY NORTHWEST MINING ASSOCIATION FOR DIVISION OF ENERGY AND MINERAL RESOURCES BUREAU OF INDIAN AFFAIRS	1
UNITED STATES ENVIROMENTAL PROTECTION AGENCY OFFICE OF PESTICIDE PROGRAMS CRITERIA AND EVALUATION DIVISION SPRINGFIELD VA	1
AVAILABLE FROM AFFORDABLE HOUSING CLEARINGHOUSE COMMITTEE ON HUD USER	1
COLLEGE OF FISHERIES AND CENTER FOR QUANTITATIVE SCIENCE UNIVERSITY OF WASHINGTON	1
UNITED STATES NUCLEAR REGULATORY COMMISSION OFFICE OF SPECIAL STUDIES	1
AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR COMMISSION	1
AVAILABLE TO PUBLIC THROUGH NATIONAL TECHNICAL INFORMAION SERVICE	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER AND WASTE MANAGEMENT OFFICE OF WATER PLANNING AND STANDARDS	1
DIVISION OF REACTOR SAFETY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
ENVIRONMENTAL PROTECTION AGENCY FEDERAL ACTIVITIES	1
DIVISON OF SAFEGUARDS FUEL CYCLE AND ENVIRONMENTAL RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF AIR AND WASTE MANGEMENT OFFICE OF AIR QUALITY PLANNING AND STANDARDS CONTROL PROGRAMS DEVELOPMENT DIVISION	1
DIVISION OF FUEL FACILITIES AND MATERIALS SAFETY INSPECTION OFFICE OF INSPECTION AND ENFORCEMENT UNITED STATES NUCLEAR REGULATORY COMMISSION	1
OFFICE OF FEDERAL ACTIVITIES UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
NATIONAL COUNCIL ON PATIENT INFORMATION AND EDUCATION	1
ADVISORY COMMITTEE ON HIGHWAY POLICY 2020 TRANSPORTATION PROGRAM	1
NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REGULATORY RESEARCH DIVISION OF SAFEGUARDS FUEL CYCLES AND ENVIRONMENTAL RESEARCH	1
NUCLEAR REGULATORY COMMISSION OFFICE OF INSPECTION AND ENFORCEMENT OFFICE OF DIRECTOR	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF AIR NOISE AND RADIATION OFFICE OF AIR QUALITY PLANNING AND STANDARDS	1
UNITED STATES EPA TECHNOLOGY TRANSFER	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF CLINICAL RESEARCH	1
SAF/AQ 1060 AIR FORCE PENTAGON	1
HEADQUARTERS UNITED STATES AIR FORCE	1
UNITED STATES PATENT AND TRADEMARK OFFICE CENTER FOR PATENT AND TRADEMARK INFORMATION	1
SP-100 GES PROGRAM OFFICE UNITED STATES DEPARTMENT OF ENERGY	1
UNITED STATES GENERAL SERVICES ADMINISTRATION GOVERNMENTWIDE INFORMATION SYSTEMS DIVISION	1
STATISTICS OF INCOME DIVISION INTERNAL REVENUE SERVICE	1
DIVISION OF LICENSEE PERFOMANCE AND QUALITY EVALUATION OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF REACTOR INSPECTION AND SAFEGUARDS OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DISTRIBUTED BY CATALOGING DISTRIBUTION SERVICE 1985-	1
UNITED STATES NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REACTOR REGULATION DIVISION OF SAFETY TECHNOLOGY	1
UNITED STATES NUCLEAR REGULATORY RESEARCH	1
DIVISION OF REACTOR SAFETY RESEARCH OFFICE OF NUCLEAR REGULATORY COMMISSION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGLATORY COMMISSION	1
NATIONAL TECHNICAL SERVICE	1
UNIVERSITY OF WISCONSIN INSTITUTE FOR RESEARCH ON POVERTY	1
PROBABILISTIC ANALYSIS BRANCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
FEDERAL RAILROAD ADMINISTRATION OFFICE OF RESEARCH AND DEVELOPMENT OFFICE OF FREIGHT SYSTEMS	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS ENVIRONMENTAL ANALYSIS DIVISION	1
OFFICE OF PLANNING AND EVALUATION ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE SOUTHWESTERN REGION	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF PUBLIC AND INDIAN HOUSING OFFICE OF PUBLIC HOUSING INVESTMENTS OFFICE OF URBAN REVITALIZATION	1
REPRODUCED BY DEPARTMENT OF ENERGY MOTOR CHALLENGE PROGRAM	1
DEPARTMENT OF VETERAN AFFAIRS VETERANS HEALTH ADMINISTRATION REHABILITATION RESEARCH AND DEVELOPMENT SERVICE SCIENTIFIC AND TECHNICAL PUBLICATIONS SECTION	1
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC NORTHWEST REGION STATE AND PRIVATE FORESTRY COOPERATIVE PROGRAMS	1
OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL MONITORING AND SYSTEMS LABORATORY	1
ENVIRONMENTAL RESPONSE TEAM EMERGENCY DIVISION OFFICE OF EMERGENCY AND REMEDIAL RESPONSE UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
OFFICE OF ENERGENCY AND REMEDIAL RESPONSE UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
OFFICE OF RADIATION PROGRAMS LAS VEGAS FACILITY UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
OFFICE OF POLICY ANALYSIS OFFICE OF POLICY PLANNING AND EVALUATION UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
DIVISION OF SAFEGUARDS FUEL CYCLE AND ENVIRONMENTAL RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF SYSTEMS INTEGRATION OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
OFFICE OF RADIATION PROGRAMS-SILVER SPRING ELECTROMAGNETIC RADIATION ANALYSIS BRANCH ENVIRONMENTAL ANALYSIS DIVISION UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
DIVISION OF REACTOR SAFETY RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
RADIATION SOURCE ANALYSIS BRANCH TECHNOLOGY ASSESSMENT DIVISION OFFICE OF RADIATION PROGRAMS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
NUCLEAR REGULTORY COMMISSION OFFICE OF NUCLEAR REACTOR REGULATION DIVISION OF OPERATING REACTORS	1
NUCLEAR REGULATORY COMMISSION DIVISION OF REACTOR SAFETY RESEARCH	1
NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REACTOR REGULATION DIVISION OF SYSTEMS SAFETY CORE PERFORMANCE BRANCH	1
NUCLEAR REGULATORY COMMISION OFFICE OF STATE PROGRAMS	1
ENVIRONMENTAL PORTECTION AGENCY OFFICE OF RADIATION PROGRAMS LAS VEGAS FACILITY	1
NUCLEAR REGULATORY COMMISSION EXECUTIVE DIRECTOR FOR OPERATIONS	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF AIR WASTE MANAGEMENT OFFICE OF AIR QUALITY PLANNING AND STANDARDS CONTROL PROGRAMS DEVELOPMENT DIVISION	1
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF AVIATION SYSTEMS PLANS	1
ENVIRONMENTAL PROTECTION AGENCY ENVIRONMENTAL RESEARCH CENTER	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RADIATION PROGRAMS ENVIRONMENTAL ANALYSIS DIVISION PROTECTIVE ACTION PLANNING AND INVESTIGATION BRANCH	1
DIVISION OF SAFEGUARDS FUEL CYCLE AND ENBIRONMENTAL RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
