U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Weather Service,	80
[For sale by the U.S. G.P.O., Supt. of Docs.,	80
U.S. Dept. of the Interior, Bureau of Commercial Fisheries,	79
Southern Forest Experiment Station,	79
U.S. Dept. of Labor, Employment and Training Administration,	79
U.S. Govt. print. off.	79
U.S. Small Business Administration, Office of Business Development,	78
U.S. Dept. of Agriculture, Foreign Agricultural Service,	78
The Program,	78
U.S. Commission on Civil Rights,	78
Govt. Printing Office,	78
U.S. Dept. of Agriculture, Forest Service, Pacific Southwest Research Station,	77
National Academy of Sciences-National Research Council,	77
The Bureau ;	77
National Aeronautics and Space Administration, Goddard Space Flight Center,	76
Gov't. Print. Off.,	76
Smithsonian Institution Press; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.]	75
National Archives and Records Service, General Services Administration,	75
for sale by the Supt. of Docs., U. S. Govt. Print. Off.,	75
Technical Information Division, Oak Ridge Directed Operations,	74
For sale by the Superintendent of Documents, U.S. Government Printing Office,	74
Environmental Protection Agency, Office of Research and Development, Industrial Environmental Research Laboratory ;	74
Pacific Northwest Forest and Range Experiment Station, U.S. Dept. of Agriculture, Forest Service,	74
Dept. of Agriculture, Forest Service, Southern Forest Experiment Station,	73
U.S. Dept. of Agriculture, Forest Service, North Central Research Station,	73
U.S. Agency for International Development,	73
U.S. Dept. of Health and Human Services, Public Health Service,	73
Dept. of Commerce, National Bureau of Standards :	72
U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Ocean Service,	72
The Court,	72
Departments of the Army and the Air Force,	72
Federal Highway Administration,	72
For sale by the Superintendent of Documents, U. S. Govt. Print. Off.,	72
[s.n.]	72
U.S. G.P.O,	71
U.S. Dept. of Labor, Mine Safety and Health Administration,	71
U.S. Dept. of Transportation,	71
U.S. Dept. of Health and Human Services, Public Health Service, Agency for Health Care Policy and Research,	71
Bundesinstitut für Ostwissenschaftliche und Internationale Studien,	70
U.S. Atomic Energy Commission, Technical Information Service Extension,	70
U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, Environmental Research Laboratories,	70
Sandia National Laboratories ;	70
Bureau of Labor Statistics, Publications Sales Center [distributor],	70
U.S. G.P.O.],	70
U.S. Dept. of Health, Education, and Welfare, Public Health Service,	70
U.S. Dept. of Agriculture, Bureau of Agricultural Economics,	70
Ames Laboratory, Iowa State University of Science and Technology,	69
U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health, National Library of Medicine, Reference Section ;	69
The Commission : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	69
U.S. Dept. of Agriculture, Economics, Statistics, and Cooperatives Service,	69
Bureau of the Census :	69
Dept. of Agriculture,	69
Technical Services, Department of Commerce ;	68
Social Security Administration,	68
U.S. Dept. of the Interior :	68
Govt. Print. Office,	68
U.S. Environmental Protection Agency, Risk Reduction Engineering Laboratory,	68
Congress of the U.S., Congressional Budget Office :	68
The Bureau : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	68
Air University Press,	68
For sale by the Supt. of Docs., U.S. Govt. Print. Off., [Congressional Sales Office],	67
National Aeronautics and Space Administration ; [For sale by the Office of Technical Services, Department of Commerce, Washington, D.C. 20230],	67
For sale by the Supt. of Docs., U. S. Govt. Print. Off.,	67
Supt. of Docs., U.S. G.P.O. [distributor],	67
Environmental Protection Agency,	67
National Oceanic and Atmospheric Administration, Environmental Data and Information Service, National Climatic Center,	66
Documentation française,	66
National Aeronautics and Space Administration, Office of Management, Scientific and Technical Information Program ;	66
Greenwood Press,	66
Office of Educational Research and Improvement, U.S. Dept. of Education,	66
The Division [distributor,	65
USDA-NRCS-National Cartographic and GIS Center ;	65
For sale by the Supt. of Docs., U.S. G.P.O. ;	65
For sale by the Supt. of Docs, U.S. G.P.O.,	65
[G.P.O.],	65
U.S. Dept. of Health, Education, and Welfare, Public Health Service, Health Resources Administration, Bureau of Health Manpower,	65
National Bureau of Standards,	65
U.S. Dept. of Commerce, Economics and Statistics Administration, U.S. Census Bureau,	65
U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control,	65
United States Department of the Interior, Bureau of Mines,	64
The Service ;	64
Israel Program for Scientific Translations [available from the U.S. Dept. of Commerce, Clearinghouse for Federal Scientific and Technical Information, Springfield, Va.]	64
The Academy,	64
University of Arizona Press,	64
Dept. of Commerce, Bureau of the Census :	64
Corporation for National Service,	64
U.S. Geological Survey, Water Resources Division,	64
U.S. Dept. of the Interior, National Park Service, Denver Service Center,	64
Printed at the Congressional Globe Office,	64
U.S. Govt. Print. Office,	64
U.S. Forest Service,	64
U.S. Dept. of the Interior, Fish and Wildlife Service, Research and Development,	63
U.S. Dept. of Justice, National Institute of Justice :	63
U.S. Institute of Peace,	63
Environmental Research Laboratory, Office of Research and Development, U.S. Environmental Protection Agency ;	63
U.S. G.P.O., :	63
U.S. Dept. of Agriculture, Economic Research Service, Agriculture and Trade Analysis Division,	63
Union Carbide Nuclear Company, Oak Ridge Gaseous Diffusion Plant,	63
U.S.Govt.Print.Off.,	63
U.S. Dept. of Education, Office of Educational Research and Improvement, National Center for Education Statistics :	63
Agency for International Development,	63
U.S. Dept. of Education :	63
U.S. Environmental Protection Agency, Office of Research and Development,	63
USDA Forest Service,	62
U.S. National Bureau of Standards; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	62
Dept. of State, Bureau of Public Affairs, Office of Public Communication,	62
Government printing office,	62
Southeastern Forest Experiment Station,	62
U.S. Dept. of Agriculture :	62
U.S. Dept. of Health and Human Services,	62
National Library Service for the Blind and Physically Handicapped, Library of Congress,	62
U.S. Dept. of Labor, Bureau of International Labor Affairs,	61
U.S. Dept of the Interior, Bureau of Mines,	61
National Aeronautics and Space Administration, Scientific and Technical Information Office,	61
H.M. Stationery Off.,	61
U.S. Army Engineer Waterways Experiment Station] ;	61
U.S. Dept. of Transportation, Federal Aviation Administration,	61
[U.S. Govt. Print. Off.,	61
U.S. Dept. of the Interior. Bureau of Mines,	60
Municipal Environmental Research Laboratory, Office of Research and Development, U.S. Environmental Protection Agency ;	60
U.S. Dept. of the Interior; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	60
Dept. of Health, Education, and Welfare, Public Health Service, National Institutes of Health,	60
The Dept. :	60
For sale by the Supt. of Docs., U.S. G.P.O., [Congressional Sales Office,	59
U.S. Dept. of Commerce, Bureau of Mines :	59
Open-File Services Section, Western Distribution Branch, U.S. Geological Survey,	59
U.S. Bureau of the Census :	59
U.S. Dept. of State, Bureau of Public Affairs, Office of Public Communication,	59
National Transportation Safety Board ;	59
Pacific Southwest Forest and Range Experiment Station,	59
Pacific Northwest Forest and Range Experiment Station,	59
The Activity ;	58
Forest Service, U.S. Dept. of Agriculture, Pacific Southwest Forest and Range Experiment Station,	58
Dept. of Agriculture, Science and Education Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	58
U.S. Dept. of Agriculture, Economic Research Service, Agriculture and Rural Economy Division,	58
