OP 1	6	Overseas Private Investment Corporation
A 113	5	Agriculture
W 34	5	
PR 44	5	President of the United States
LC 23	5	Library of Congress
SI 14	5	Smithsonian Institution
W 11	5	
HH 10	5	Housing and Urban Development Department
I 23	5	Interior Department
A 85	5	Agriculture
A 27	5	Agriculture
PR 31	5	President of the United States
T 33	5	Treasury Department
SS 1	5	
AR 1	5	
AA 3	5	
NA 2	5	
UNI 1	5	
FS 10	5	
PREX 18	5	Executive Office of the President
C 25	5	Commerce Department
J 38	4	Justice Department
EP 10	4	Environmental protection Agency
B 1	4	Broadcasting Board of Governors
J 27	4	Justice Department
FW 1	4	
D 218	4	Defense Department
NASA 1	4	
W 10	4	
SI 7	4	Smithsonian Institution
OED 1	4	
PHE 194	4	
SI 4	4	Smithsonian Institution
FM 1	4	Federal Mediation and Conciliation Service
AG 1	4	
PL 67	4	
C 54	4	Commerce Department
M 105	4	
W 42	4	
LC 12	4	Library of Congress
L 34	4	Labor Department
FS 15	4	
PE 32	4	Peace Corps
I 22	4	Interior Department
LGL 514	4	
CNF 53	4	
LC 9	4	Library of Congress
N 28	4	
C 14	4	Commerce Department
PREX 6	4	Executive Office of the President
P 4	3	United States Postal Service
D 111	3	Defense Department
C 45	3	Commerce Department
C 48	3	Commerce Department
NC 3	3	National Capital Planning Commission
PREX 13	3	Executive Office of the President
D 219	3	Defense Department
N 17	3	
A 114	3	Agriculture
C 10	3	Commerce Department
I 48	3	Interior Department
T 5	3	Treasury Department
D 215	3	Defense Department
GB 1	3	
T 56	3	Treasury Department
W 70	3	
ES 3	3	
FL 5	3	
Y 9	3	Congress
ICA 1	3	
PREX 28	3	Executive Office of the President
N 10	3	
FCD 1	3	
T 11	3	Treasury Department
NS 2	3	National Science Foundation
S 6	3	State Department
PL 480	3	
PHE 1	3	
A 29	3	Agriculture
Y 2	3	Congress
C 43	3	Commerce Department
OAU 1	3	
W 108	3	
L 28	3	Labor Department
II 1	3	
I 63	3	Interior Department
D 4	3	Defense Department
A 100	3	Agriculture
W 44	3	
N 13	3	
I 12	3	Interior Department
FS 16	3	
FL 2	3	
PA 1	3	
OYR 32	2	
NHA 1	2	
CA 1	2	
A 48	2	Agriculture
I 7	2	Interior Department
PAT 1	2	
FW 3	2	
W 75	2	
FS 7	2	
A 11	2	Agriculture
T 62	2	Treasury Department
GS 14	2	General Services Administration
L 25	2	Labor Department
FO 1	2	
Y 5	2	Congress
S 22	2	State Department
A 7	2	Agriculture
A 80	2	Agriculture
T 25	2	Treasury Department
NHA 2	2	
J 35	2	Justice Department
DC 18	2	
M 110	2	
FAA 5	2	
I 73	2	Interior Department
D 118	2	Defense Department
PREX 24	2	Executive Office of the President
L 33	2	Labor Department
W 39	2	
L 15	2	Labor Department
T 51	2	Treasury Department
T 15	2	Treasury Department
C 50	2	Commerce Department
C 3261	2	Commerce Department
F 2	2	
W 110	2	
D 116	2	Defense Department
ONR 84	2	
OD 52	2	
OH 179	2	
ONR 242	2	
N 29	2	
M 216	2	
L 3	2	Labor Department
OT 1	2	
C 35	2	Commerce Department
A 102	2	Agriculture
A 55	2	Agriculture
T 32	2	Treasury Department
PHE 177	2	
C 8	2	Commerce Department
JU 9	2	Judiciary
A 56	2	Agriculture
M 301	2	
W 5	2	
FS 11	2	
RNB 1	2	
T 37	2	Treasury Department
HE 30	2	Health and Human Services Department
PR 28	2	President of the United States
FF 1	2	
Z 2	2	
SI 18	2	Smithsonian Institution
AA 2	2	
T 19	2	Treasury Department
I 64	2	Interior Department
I 44	2	Interior Department
OHW 1	2	
FAA 4	2	
GS 8	2	General Services Administration
GS 13	2	General Services Administration
M 501	2	
DC 1	2	
A 96	2	Agriculture
N 20	1	
S 21	1	State Department
OAE 1	1	
OEP 1	1	
J 250	1	Justice Department
STT 76	1	
CIW 87	1	
I 92	1	Interior Department
W 30	1	
H 57	1	
U 0680	1	
HE 202110	1	Health and Human Services Department
T 30	1	Treasury Department
HH 12	1	Housing and Urban Development Department
L 500	1	Labor Department
G 41	1	
A 87	1	Agriculture
A 66	1	Agriculture
SB 323	1	
N 400	1	
A 75	1	Agriculture
EG 326	1	
PHE 94	1	
PGA 138	1	
PE 136	1	Peace Corps
PCA 177	1	
PA 2	1	
PAG 1	1	
NAT 1	1	
A 1388	1	Agriculture
A 1400	1	Agriculture
JU 4	1	Judiciary
CI 5	1	
AS 7	1	
SCP 71	1	
CNF 717	1	
WY 156	1	
ADR 12	1	
CNG 345	1	
LGL 69	1	
S 4	1	State Department
SI 12	1	Smithsonian Institution
HE 81	1	Health and Human Services Department
HGY 1	1	
LGH 842	1	
N 15	1	
X 1	1	Congress
Y 22	1	Congress
P 19	1	United States Postal Service
W 105	1	
C 2	1	Commerce Department
I 25	1	Interior Department
A 76	1	Agriculture
T 64	1	Treasury Department
DC 55	1	
D 220	1	Defense Department
W 107	1	
MA 3065	1	
N 18	1	
TA 1	1	
TS 2	1	
A 39	1	Agriculture
M 210	1	
T 68	1	Treasury Department
W 43	1	
NAS 11	1	National Aeronautics and Space Administration
M 112	1	
ITC 2	1	International Trade Commission
C 15	1	Commerce Department
PREX 16	1	Executive Office of the President
NC 1	1	National Capital Planning Commission
T 9	1	Treasury Department
DC 21	1	
T 26	1	Treasury Department
GA 113	1	Government Accountability Office
G 51	1	
GAO 1	1	
FTZ 1	1	Foreign-Trade Zones Board
L 27	1	Labor Department
PREX 25	1	Executive Office of the President
FC 1	1	
TD 398	1	Transportation Department
M 113	1	
S 16	1	State Department
C 9	1	Commerce Department
PRVP 41	1	Vice President of the United States
JU 14	1	Judiciary
B 19	1	Broadcasting Board of Governors
A 90	1	Agriculture
M 209	1	
PR 3638	1	President of the United States
A 38	1	Agriculture
PREX 5	1	Executive Office of the President
A 2	1	Agriculture
C 123	1	Commerce Department
I 219	1	Interior Department
OGA 204	1	
W 4	1	
RL 1	1	
T 21	1	Treasury Department
W 12	1	
Y 44	1	Congress
PPW 145	1	
M 115	1	
D 113	1	Defense Department
PAC 1	1	
HH 3	1	Housing and Urban Development Department
A 18	1	Agriculture
I 74	1	Interior Department
AA 9	1	
A 49	1	Agriculture
A 99	1	Agriculture
N 14	1	
SB 2	1	
PRVP 44	1	Vice President of the United States
H 4	1	
A 32	1	Agriculture
J 37	1	Justice Department
I 2823	1	Interior Department
N 2	1	
EC 1	1	
W 97	1	
D 112	1	Defense Department
W 100	1	
Y 11	1	Congress
PREX 43	1	Executive Office of the President
D 303	1	Defense Department
A 53	1	Agriculture
EB 1	1	
FR 4	1	Federal Reserve System Board of Governors
B 211	1	Broadcasting Board of Governors
HE 6502	1	Health and Human Services Department
S 20	1	State Department
TD 13	1	Transportation Department
D 13	1	Defense Department
D 117	1	Defense Department
PVRP 42	1	
M 103	1	
DC 17	1	
JA 1	1	
I 42	1	Interior Department
FL 3	1	
TD 48	1	Transportation Department
