644041812	m		CR 1.10:68	The Equal Rights Amendment [electronic resource] : guaranteeing equal rights for women under the Constitution	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/7515764.html
8045581	m		CR 1.10:69	With all deliberate speed, 1954-19??	1981	
558483382	m		CR 1.10:69	With all deliberate speed, 1954-19?? [electronic resource]	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/8045581.html
1910906	m		CR 1.10:7	Racial isolation in the public schools  summary of a report	1967]	
784970078	m		CR 1.10:7	Racial isolation in the public schools  [electronic resource] summary of a report	1967]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/1910906.html
7973461	m		CR 1.10:70	Affirmative action in the 1980's : dismantling the process of discrimination : a statement / of the United States Commission on Civil Rights	1981	
624411825	m		CR 1.10:70	Affirmative action in the 1980s [electronic resource] : dismantling the process of discrimination : a statement of the United States Commission on Civil Rights	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9828866.html
8562009	m		CR 1.10:71	The federal civil rights enforcement budget, fiscal year 1983	1982	
8972214	m		CR 1.10:72	Health insurance coverage and employment opportunities for minorities and women / United States Commission on Civil Rights	1982	
624426144	m		CR 1.10:72	Health insurance coverage and employment opportunities for minorities and women [electronic resource] / United States Commission on Civil Rights	[1982]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/8972214.html
9038700	m		CR 1.10:73	Statement on the fiscal year 1983 education budget	1982	
624415161	m		CR 1.10:73	Statement on the fiscal year 1983 education budget [electronic resource]	1982	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9038700.html
9025056	m		CR 1.10:74	Unemployment and underemployment among blacks, hispanics, and women	1982	
622844121	m		CR 1.10:74	Unemployment and underemployment among blacks, hispanics, and women [electronic resource]	1982	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9025056.html
9164319	m		CR 1.10:75	Discriminatory religious schools and tax exempt status	[1982]	
603809056	m		CR 1.10:75	Discriminatory religious schools and tax exempt status [electronic resource]	[1982]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9164319.html
9179043	m		CR 1.10:76	Statement of the United States Commission on Civil Rights on school desegregation	1982	
784683933	m		CR 1.10:76	Statement of the United States Commission on Civil Rights on school desegregation [electronic resource]	1982	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9179043.html
9148600	m		CR 1.10:77	Intimidation and violence : racial and religious bigotry in America / a statement of the United States Commission on Civil Rights	[1983]	
624395699	m		CR 1.10:77	Intimidation and violence [electronic resource] : racial and religious bigotry in America / a statement of the United States Commission on Civil Rights	[1983]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9148600.html
9438504	m		CR 1.10:78	A Growing crisis : disadvantaged women and their children	1983	http://www.law.umaryland.edu/marshall/usccr/documents/cr11078.pdf
784683932	m		CR 1.10:78	A Growing crisis [electronic resource] : disadvantaged women and their children	1983	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9438504.html
